cnpj,competencia,valor_total_entradas,valor_total_saidas
12345678000199,05/2024,320000.00,480000.00
12345678000199,06/2024,335000.00,510000.00
12345678000199,07/2024,310000.00,465000.00
12345678000199,08/2024,345000.00,520000.00
12345678000199,09/2024,325000.00,490000.00
12345678000199,10/2024,360000.00,540000.00
12345678000199,11/2024,330000.00,495000.00
12345678000199,12/2024,380000.00,570000.00
12345678000199,01/2025,340000.00,510000.00
12345678000199,02/2025,315000.00,472000.00
12345678000199,03/2025,350000.00,525000.00
12345678000199,04/2025,360000.00,540000.00
