cnpj,competencia,ncm,valor_total_entradas,valor_total_saidas
12345678000199,05/2024,3003,112000.00,168000.00
12345678000199,05/2024,3004,56000.00,84000.00
12345678000199,05/2024,3002,22000.00,33000.00
12345678000199,05/2024,2936,14000.00,21000.00
12345678000199,05/2024,4015.11.00,10000.00,15000.00
12345678000199,05/2024,9018.31,27000.00,40000.00
12345678000199,05/2024,3306.10.00,20000.00,30000.00
12345678000199,06/2024,3003,118000.00,177000.00
12345678000199,06/2024,3004,58000.00,87000.00
12345678000199,06/2024,3002,23000.00,34500.00
12345678000199,06/2024,2936,15000.00,22500.00
12345678000199,06/2024,4015.11.00,11000.00,16500.00
12345678000199,06/2024,9018.31,28000.00,42000.00
12345678000199,06/2024,3306.10.00,21000.00,31500.00
12345678000199,07/2024,3003,108000.00,162000.00
12345678000199,07/2024,3004,54000.00,81000.00
12345678000199,07/2024,3002,21000.00,31500.00
12345678000199,07/2024,2936,13000.00,19500.00
12345678000199,07/2024,4015.11.00,9000.00,13500.00
12345678000199,07/2024,9018.31,26000.00,39000.00
12345678000199,07/2024,3306.10.00,19000.00,28500.00
12345678000199,08/2024,3003,121000.00,181500.00
12345678000199,08/2024,3004,60000.00,90000.00
12345678000199,08/2024,3002,24000.00,36000.00
12345678000199,08/2024,2936,16000.00,24000.00
12345678000199,08/2024,4015.11.00,12000.00,18000.00
12345678000199,08/2024,9018.31,29000.00,43500.00
12345678000199,08/2024,3306.10.00,22000.00,33000.00
12345678000199,09/2024,3003,114000.00,171000.00
12345678000199,09/2024,3004,57000.00,85500.00
12345678000199,09/2024,3002,22500.00,33750.00
12345678000199,09/2024,2936,14500.00,21750.00
12345678000199,09/2024,4015.11.00,10500.00,15750.00
12345678000199,09/2024,9018.31,27500.00,41250.00
12345678000199,09/2024,3306.10.00,20500.00,30750.00
12345678000199,10/2024,3003,126000.00,189000.00
12345678000199,10/2024,3004,63000.00,94500.00
12345678000199,10/2024,3002,25000.00,37500.00
12345678000199,10/2024,2936,17000.00,25500.00
12345678000199,10/2024,4015.11.00,13000.00,19500.00
12345678000199,10/2024,9018.31,30000.00,45000.00
12345678000199,10/2024,3306.10.00,23000.00,34500.00
12345678000199,11/2024,3003,115500.00,173250.00
12345678000199,11/2024,3004,57750.00,86625.00
12345678000199,11/2024,3002,23000.00,34500.00
12345678000199,11/2024,2936,15000.00,22500.00
12345678000199,11/2024,4015.11.00,11000.00,16500.00
12345678000199,11/2024,9018.31,28000.00,42000.00
12345678000199,11/2024,3306.10.00,21000.00,31500.00
12345678000199,12/2024,3003,133000.00,199500.00
12345678000199,12/2024,3004,66500.00,99750.00
12345678000199,12/2024,3002,26500.00,39750.00
12345678000199,12/2024,2936,18000.00,27000.00
12345678000199,12/2024,4015.11.00,14000.00,21000.00
12345678000199,12/2024,9018.31,32000.00,48000.00
12345678000199,12/2024,3306.10.00,24000.00,36000.00
12345678000199,01/2025,3003,119000.00,178500.00
12345678000199,01/2025,3004,59500.00,89250.00
12345678000199,01/2025,3002,23500.00,35250.00
12345678000199,01/2025,2936,16000.00,24000.00
12345678000199,01/2025,4015.11.00,12000.00,18000.00
12345678000199,01/2025,9018.31,29000.00,43500.00
12345678000199,01/2025,3306.10.00,22000.00,33000.00
12345678000199,02/2025,3003,110000.00,165000.00
12345678000199,02/2025,3004,55000.00,82500.00
12345678000199,02/2025,3002,21500.00,32250.00
12345678000199,02/2025,2936,14000.00,21000.00
12345678000199,02/2025,4015.11.00,10000.00,15000.00
12345678000199,02/2025,9018.31,27000.00,40500.00
12345678000199,02/2025,3306.10.00,20000.00,30000.00
12345678000199,03/2025,3003,122500.00,183750.00
12345678000199,03/2025,3004,61250.00,91875.00
12345678000199,03/2025,3002,24500.00,36750.00
12345678000199,03/2025,2936,16500.00,24750.00
12345678000199,03/2025,4015.11.00,12500.00,18750.00
12345678000199,03/2025,9018.31,30000.00,45000.00
12345678000199,03/2025,3306.10.00,22500.00,33750.00
12345678000199,04/2025,3003,126000.00,189000.00
12345678000199,04/2025,3004,63000.00,94500.00
12345678000199,04/2025,3002,25000.00,37500.00
12345678000199,04/2025,2936,17000.00,25500.00
12345678000199,04/2025,4015.11.00,13000.00,19500.00
12345678000199,04/2025,9018.31,31000.00,46500.00
12345678000199,04/2025,3306.10.00,23000.00,34500.00
