cnpj,competencia,valor_total_entradas,valor_total_saidas
98765432000100,05/2024,420000.00,390000.00
98765432000100,06/2024,410000.00,380000.00
98765432000100,07/2024,430000.00,395000.00
98765432000100,08/2024,380000.00,410000.00
98765432000100,09/2024,350000.00,420000.00
98765432000100,10/2024,360000.00,430000.00
98765432000100,11/2024,340000.00,405000.00
98765432000100,12/2024,370000.00,440000.00
98765432000100,01/2025,390000.00,415000.00
98765432000100,02/2025,410000.00,385000.00
98765432000100,03/2025,400000.00,380000.00
98765432000100,04/2025,390000.00,370000.00
