cnpj,competencia,ncm,valor_total_entradas,valor_total_saidas
98765432000100,05/2024,3003,60000.00,90000.00
98765432000100,05/2024,3004,30000.00,45000.00
98765432000100,05/2024,9018.31,80000.00,120000.00
98765432000100,05/2024,3306.10.00,60000.00,90000.00
98765432000100,05/2024,9603.21.00,50000.00,75000.00
98765432000100,06/2024,3003,58000.00,87000.00
98765432000100,06/2024,3004,29000.00,43500.00
98765432000100,06/2024,9018.31,78000.00,117000.00
98765432000100,06/2024,3306.10.00,58000.00,87000.00
98765432000100,06/2024,9603.21.00,48000.00,72000.00
98765432000100,07/2024,3003,62000.00,93000.00
98765432000100,07/2024,3004,31000.00,46500.00
98765432000100,07/2024,9018.31,82000.00,123000.00
98765432000100,07/2024,3306.10.00,62000.00,93000.00
98765432000100,07/2024,9603.21.00,52000.00,78000.00
98765432000100,08/2024,3003,60000.00,90000.00
98765432000100,08/2024,3004,30000.00,45000.00
98765432000100,08/2024,9018.31,80000.00,120000.00
98765432000100,08/2024,3306.10.00,60000.00,90000.00
98765432000100,08/2024,9603.21.00,50000.00,75000.00
98765432000100,09/2024,3003,64000.00,96000.00
98765432000100,09/2024,3004,32000.00,48000.00
98765432000100,09/2024,9018.31,84000.00,126000.00
98765432000100,09/2024,3306.10.00,63000.00,94500.00
98765432000100,09/2024,9603.21.00,53000.00,79500.00
98765432000100,10/2024,3003,65000.00,97500.00
98765432000100,10/2024,3004,32500.00,48750.00
98765432000100,10/2024,9018.31,85000.00,127500.00
98765432000100,10/2024,3306.10.00,64000.00,96000.00
98765432000100,10/2024,9603.21.00,54000.00,81000.00
98765432000100,11/2024,3003,61000.00,91500.00
98765432000100,11/2024,3004,30500.00,45750.00
98765432000100,11/2024,9018.31,81000.00,121500.00
98765432000100,11/2024,3306.10.00,61000.00,91500.00
98765432000100,11/2024,9603.21.00,51000.00,76500.00
98765432000100,12/2024,3003,67000.00,100500.00
98765432000100,12/2024,3004,33500.00,50250.00
98765432000100,12/2024,9018.31,87000.00,130500.00
98765432000100,12/2024,3306.10.00,65000.00,97500.00
98765432000100,12/2024,9603.21.00,55000.00,82500.00
98765432000100,01/2025,3003,63000.00,94500.00
98765432000100,01/2025,3004,31500.00,47250.00
98765432000100,01/2025,9018.31,83000.00,124500.00
98765432000100,01/2025,3306.10.00,63000.00,94500.00
98765432000100,01/2025,9603.21.00,53000.00,79500.00
98765432000100,02/2025,3003,59000.00,88500.00
98765432000100,02/2025,3004,29500.00,44250.00
98765432000100,02/2025,9018.31,79000.00,118500.00
98765432000100,02/2025,3306.10.00,59000.00,88500.00
98765432000100,02/2025,9603.21.00,49000.00,73500.00
98765432000100,03/2025,3003,61000.00,91500.00
98765432000100,03/2025,3004,30500.00,45750.00
98765432000100,03/2025,9018.31,81000.00,121500.00
98765432000100,03/2025,3306.10.00,61000.00,91500.00
98765432000100,03/2025,9603.21.00,51000.00,76500.00
98765432000100,04/2025,3003,60000.00,90000.00
98765432000100,04/2025,3004,30000.00,45000.00
98765432000100,04/2025,9018.31,80000.00,120000.00
98765432000100,04/2025,3306.10.00,60000.00,90000.00
98765432000100,04/2025,9603.21.00,50000.00,75000.00
